# side(0=real,1=sim) event ncl R_cm rms_cm medtb
0 10 37 61.18 0.1033 196.4
0 10 16 46.09 0.1210 709.2
0 10 26 623.09 0.0369 808.9
0 10 19 47.30 0.0524 826.6
0 10 16 605.48 0.0391 44.5
0 10 15 64.15 0.0726 851.0
0 10 18 86.29 0.0493 598.2
0 10 24 122.96 0.0481 787.3
0 10 20 295.50 0.0311 75.2
0 10 13 69.28 0.0521 123.5
0 10 33 169.49 0.0481 258.6
0 10 19 59.58 0.0908 833.4
0 10 14 166.16 0.0795 814.2
0 10 16 47.75 0.0882 849.6
0 10 18 1011.95 0.0285 951.0
0 10 29 51.80 0.0871 385.7
0 10 18 145.43 0.0599 783.3
0 10 18 73.82 0.1032 789.9
0 10 27 76.76 0.0810 196.8
0 10 14 410.96 0.0927 876.7
0 10 23 102.82 0.0516 953.0
0 11 42 73.02 0.0424 447.1
0 11 31 169.12 0.0573 543.0
0 11 14 63.17 0.1369 221.0
0 11 19 95.15 0.0918 236.9
0 11 25 114.01 0.0639 929.7
0 11 15 145.57 0.0446 35.3
0 11 37 138.32 0.0553 467.6
0 11 17 64.47 0.0466 879.5
0 11 15 81.49 0.0767 19.4
0 11 39 82.63 0.0778 370.7
0 11 28 122.82 0.0587 908.1
0 11 44 421.60 0.0561 338.6
0 11 38 89.49 0.0760 157.5
0 11 27 71.10 0.0987 59.3
0 11 24 79.72 0.0380 110.9
0 11 16 107.63 0.0851 934.3
0 11 35 185.13 0.0456 914.5
0 11 15 66.88 0.0316 769.3
0 11 24 272.95 0.0491 274.0
0 11 23 180.34 0.0372 654.6
0 11 34 123.39 0.0404 912.6
0 11 31 104.02 0.0414 617.1
0 11 13 113.25 0.0515 84.4
0 11 18 781.53 0.0269 248.0
0 11 26 107.45 0.0242 597.2
0 11 16 150.32 0.0190 649.0
0 11 14 78.70 0.0666 36.2
0 11 18 45.54 0.0476 905.2
0 11 28 148.92 0.0600 492.3
0 11 43 74.02 0.0999 179.9
0 11 19 45.89 0.1238 930.4
0 11 23 46.11 0.1116 918.1
0 11 38 92.01 0.0582 528.4
0 11 15 162.46 0.0265 594.3
0 11 16 232.67 0.0379 237.3
0 11 16 110.95 0.0644 197.4
0 11 37 105.93 0.0780 125.1
0 11 22 48.96 0.0837 768.3
0 11 36 71.59 0.0701 102.6
0 11 31 220.96 0.0706 73.3
0 11 25 74.84 0.0621 346.2
0 11 40 355.62 0.0600 185.0
0 11 40 146.93 0.0589 362.7
0 11 29 90.09 0.0463 347.3
0 11 42 56.46 0.0587 576.6
0 11 32 191.61 0.0486 383.7
0 11 21 91.95 0.0356 891.2
0 11 46 91.83 0.0492 554.2
0 11 39 110.69 0.0805 713.3
0 11 33 53.54 0.1097 197.9
0 11 13 71.34 0.1757 302.4
0 11 13 100.11 0.1618 36.6
0 11 28 113.44 0.0797 256.1
0 11 18 100.94 0.0854 871.4
0 11 21 94.32 0.0768 895.0
0 11 23 119.33 0.0677 917.7
0 11 20 574.80 0.0359 137.8
0 11 35 302.71 0.0261 167.8
0 11 19 125.38 0.0616 427.8
0 11 37 164.50 0.0760 313.0
0 11 27 1793.82 0.0402 883.8
0 11 30 71.42 0.0798 24.0
0 11 24 129.63 0.0486 929.9
0 11 32 84.93 0.0727 86.1
0 11 33 297.43 0.0480 326.4
0 11 18 160.86 0.0457 948.3
0 11 36 65.44 0.1070 272.3
0 11 30 99.34 0.0515 85.6
0 11 21 57.64 0.1325 904.0
0 11 29 71.01 0.1214 89.5
0 11 20 63.22 0.1406 268.1
0 11 14 176.21 0.1068 321.0
0 11 24 45.50 0.1625 276.6
0 11 28 52.32 0.0996 189.0
0 11 32 47.02 0.1039 280.3
0 11 36 120.81 0.0423 621.6
0 11 26 278.25 0.0317 918.1
0 11 27 121.92 0.0564 272.3
0 11 26 255.47 0.0459 461.9
0 11 42 241.42 0.0317 83.7
0 11 30 87.58 0.0593 784.2
0 11 41 45.91 0.1227 278.7
0 11 43 169.85 0.0490 578.1
0 11 41 132.71 0.0523 549.9
0 11 45 263.38 0.0552 291.6
0 11 35 89.82 0.0844 409.7
0 11 22 125.18 0.0498 883.2
0 11 16 138.12 0.0235 276.1
0 11 13 61.43 0.1696 197.6
0 11 17 61.21 0.0293 654.1
0 11 17 142.59 0.0399 37.2
0 11 30 117.39 0.0835 422.6
0 11 20 86.22 0.0699 932.6
0 11 35 67.36 0.0772 87.4
0 11 21 151.72 0.0204 262.6
0 11 33 85.57 0.0346 627.8
0 11 35 176.07 0.0436 380.7
0 11 26 75.75 0.0798 374.0
0 11 22 68.05 0.0497 147.1
0 11 29 94.79 0.0665 435.9
0 11 47 149.58 0.0614 629.9
0 11 35 79.63 0.0895 555.6
0 11 36 53.60 0.1132 558.8
